name,house,party,constituency,constituency_ons,position,source_link,country,addressable_title
Liam Byrne,Commons,Labour,Birmingham Hodge Hill and Solihull North,E14001095,,https://members.parliament.uk/member/1171/contact,England,The Rt Hon Liam Byrne MP
Ruth Cadbury,Commons,Labour,Brentford and Isleworth,E14001124,,https://members.parliament.uk/member/4389/contact,England,Ms Ruth Cadbury MP
Nesil Caliskan,Commons,Labour,Barking,E14001073,,https://members.parliament.uk/member/5180/contact,England,Ms Nesil Caliskan MP
Alan Campbell,Commons,Labour,Tynemouth,E14001557,Parliamentary Secretary to the Treasury (Chief Whip),https://members.parliament.uk/member/529/contact,England,The Rt Hon Sir Alan Campbell MP
Irene Campbell,Commons,Labour,North Ayrshire and Arran,S14000048,,https://members.parliament.uk/member/5145/contact,Scotland,Ms Irene Campbell MP
Juliet Campbell,Commons,Labour,Broxtowe,E14001140,,https://members.parliament.uk/member/5058/contact,England,Ms Juliet Campbell MP
Markus Campbell-Savours,Commons,Labour,Penrith and Solway,E14001424,,https://members.parliament.uk/member/5124/contact,England,Mr Markus Campbell-Savours MP
Dan Carden,Commons,Labour,Liverpool Walton,E14001339,,https://members.parliament.uk/member/4651/contact,England,Mr Dan Carden MP
Sam Carling,Commons,Labour,North West Cambridgeshire,E14001401,,https://members.parliament.uk/member/5308/contact,England,Mr Sam Carling MP
Al Carns,Commons,Labour,Birmingham Selly Oak,E14001099,Parliamentary Under-Secretary (Ministry of Defence) (Minister for Veterans),https://members.parliament.uk/member/5235/contact,England,Mr Al Carns MP
Sarah Champion,Commons,Labour,Rotherham,E14001452,,https://members.parliament.uk/member/4267/contact,England,Ms Sarah Champion MP
Bambos Charalambous,Commons,Labour,Southgate and Wood Green,E14001503,,https://members.parliament.uk/member/4610/contact,England,Mr Bambos Charalambous MP
Luke Charters,Commons,Labour,York Outer,E14001605,,https://members.parliament.uk/member/5199/contact,England,Mr Luke Charters MP
Feryal Clark,Commons,Labour,Enfield North,E14001225,"Parliamentary Under Secretary of State (Department for Science, Innovation and Technology)",https://members.parliament.uk/member/4822/contact,England,Ms Feryal Clark MP
Ben Coleman,Commons,Labour,Chelsea and Fulham,E14001160,,https://members.parliament.uk/member/5344/contact,England,Mr Ben Coleman MP
Jacob Collier,Commons,Labour,Burton and Uttoxeter,E14001143,,https://members.parliament.uk/member/5077/contact,England,Mr Jacob Collier MP
Lizzi Collinge,Commons,Labour,Morecambe and Lunesdale,E14001372,,https://members.parliament.uk/member/5225/contact,England,Ms Lizzi Collinge MP
Tom Collins,Commons,Labour,Worcester,E14001597,,https://members.parliament.uk/member/5087/contact,England,Mr Tom Collins MP
Liam Conlon,Commons,Labour,Beckenham and Penge,E14001083,,https://members.parliament.uk/member/5132/contact,England,Mr Liam Conlon MP
Sarah Coombes,Commons,Labour,West Bromwich,E14001574,,https://members.parliament.uk/member/5088/contact,England,Ms Sarah Coombes MP
Andrew Cooper,Commons,Labour,Mid Cheshire,E14001361,,https://members.parliament.uk/member/5195/contact,England,Mr Andrew Cooper MP
Beccy Cooper,Commons,Labour,Worthing West,E14001599,,https://members.parliament.uk/member/5307/contact,England,Dr Beccy Cooper MP
Yvette Cooper,Commons,Labour,"Pontefract, Castleford and Knottingley",E14001428,Home Secretary,https://members.parliament.uk/member/420/contact,England,The Rt Hon Yvette Cooper MP
Marsha De Cordova,Commons,Labour,Battersea,E14001081,,https://members.parliament.uk/member/4676/contact,England,Ms Marsha De Cordova MP
Deirdre Costigan,Commons,Labour,Ealing Southall,E14001209,,https://members.parliament.uk/member/5075/contact,England,Ms Deirdre Costigan MP
Pam Cox,Commons,Labour,Colchester,E14001176,,https://members.parliament.uk/member/5042/contact,England,Ms Pam Cox MP
Neil Coyle,Commons,Labour,Bermondsey and Old Southwark,E14001085,,https://members.parliament.uk/member/4368/contact,England,Mr Neil Coyle MP
Jen Craft,Commons,Labour,Thurrock,E14001546,,https://members.parliament.uk/member/5056/contact,England,Ms Jen Craft MP
Mary Creagh,Commons,Labour,Coventry East,E14001180,"Parliamentary Under-Secretary (Department for Environment, Food and Rural Affairs)",https://members.parliament.uk/member/1579/contact,England,Ms Mary Creagh MP
Torcuil Crichton,Commons,Labour,Na h-Eileanan an Iar,S14000027,,https://members.parliament.uk/member/5246/contact,Scotland,Mr Torcuil Crichton MP
Judith Cummins,Commons,Labour,Bradford South,E14001119,,https://members.parliament.uk/member/4391/contact,England,Ms Judith Cummins MP
Chris Curtis,Commons,Labour,Milton Keynes North,E14001370,,https://members.parliament.uk/member/5118/contact,England,Mr Chris Curtis MP
Janet Daby,Commons,Labour,Lewisham East,E14001331,Parliamentary Under-Secretary (Department for Education),https://members.parliament.uk/member/4698/contact,England,Ms Janet Daby MP
Nicholas Dakin,Commons,Labour,Scunthorpe,E14001462,"Government Whip, Lord Commissioner of HM Treasury",https://members.parliament.uk/member/4056/contact,England,Sir Nicholas Dakin MP
Ashley Dalton,Commons,Labour,West Lancashire,E14001577,Parliamentary Under-Secretary (Department of Health and Social Care),https://members.parliament.uk/member/4981/contact,England,Ms Ashley Dalton MP
Emily Darlington,Commons,Labour,Milton Keynes Central,E14001369,,https://members.parliament.uk/member/5139/contact,England,Ms Emily Darlington MP
Jonathan Davies,Commons,Labour,Mid Derbyshire,E14001362,,https://members.parliament.uk/member/5256/contact,England,Mr Jonathan Davies MP
Paul Davies,Commons,Labour,Colne Valley,E14001177,,https://members.parliament.uk/member/5317/contact,England,Mr Paul Davies MP
Shaun Davies,Commons,Labour,Telford,E14001541,,https://members.parliament.uk/member/5041/contact,England,Mr Shaun Davies MP
Alex Davies-Jones,Commons,Labour,Pontypridd,W07000106,Parliamentary Under-Secretary (Ministry of Justice),https://members.parliament.uk/member/4849/contact,Wales,Ms Alex Davies-Jones MP
Josh Dean,Commons,Labour,Hertford and Stortford,E14001283,,https://members.parliament.uk/member/5187/contact,England,Mr Josh Dean MP
Tanmanjeet Singh Dhesi,Commons,Labour,Slough,E14001477,,https://members.parliament.uk/member/4638/contact,England,Mr Tanmanjeet Singh Dhesi MP
Jim Dickson,Commons,Labour,Dartford,E14001191,,https://members.parliament.uk/member/5223/contact,England,Mr Jim Dickson MP
Anna Dixon,Commons,Labour,Shipley,E14001472,,https://members.parliament.uk/member/5281/contact,England,Ms Anna Dixon MP
Samantha Dixon,Commons,Labour,Chester North and Neston,E14001163,"Vice Chamberlain (HM Household) (Whip, House of Commons)",https://members.parliament.uk/member/4976/contact,England,Ms Samantha Dixon MP
Peter Dowd,Commons,Labour,Bootle,E14001113,,https://members.parliament.uk/member/4397/contact,England,Mr Peter Dowd MP
Graeme Downie,Commons,Labour,Dunfermline and Dollar,S14000076,,https://members.parliament.uk/member/5275/contact,Scotland,Mr Graeme Downie MP
Neil Duncan-Jordan,Commons,Labour,Poole,E14001429,,https://members.parliament.uk/member/5359/contact,England,Mr Neil Duncan-Jordan MP
Angela Eagle,Commons,Labour,Wallasey,E14001561,Minister of State (Home Office),https://members.parliament.uk/member/491/contact,England,Dame Angela Eagle MP
Maria Eagle,Commons,Labour,Liverpool Garston,E14001337,Minister of State (Ministry of Defence),https://members.parliament.uk/member/483/contact,England,The Rt Hon Maria Eagle MP
Cat Eccles,Commons,Labour,Stourbridge,E14001524,,https://members.parliament.uk/member/5293/contact,England,Ms Cat Eccles MP
Lauren Edwards,Commons,Labour,Rochester and Strood,E14001447,,https://members.parliament.uk/member/5298/contact,England,Ms Lauren Edwards MP
Sarah Edwards,Commons,Labour,Tamworth,E14001538,,https://members.parliament.uk/member/5001/contact,England,Ms Sarah Edwards MP
Clive Efford,Commons,Labour,Eltham and Chislehurst,E14001223,,https://members.parliament.uk/member/165/contact,England,Mr Clive Efford MP
Damien Egan,Commons,Labour,Bristol North East,E14001133,,https://members.parliament.uk/member/5010/contact,England,Mr Damien Egan MP
Maya Ellis,Commons,Labour,Ribble Valley,E14001443,,https://members.parliament.uk/member/5228/contact,England,Ms Maya Ellis MP
Chris Elmore,Commons,Labour,Bridgend,W07000086,"Comptroller (HM Household) (Whip, House of Commons)",https://members.parliament.uk/member/4572/contact,Wales,Mr Chris Elmore MP
Kirith Entwistle,Commons,Labour,Bolton North East,E14001110,,https://members.parliament.uk/member/5095/contact,England,Ms Kirith Entwistle MP
Bill Esterson,Commons,Labour,Sefton Central,E14001463,,https://members.parliament.uk/member/4061/contact,England,Mr Bill Esterson MP
Hamish Falconer,Commons,Labour,Lincoln,E14001336,"Parliamentary Under-Secretary (Foreign, Commonwealth and Development Office)",https://members.parliament.uk/member/5148/contact,England,Mr Hamish Falconer MP
Linsey Farnsworth,Commons,Labour,Amber Valley,E14001066,,https://members.parliament.uk/member/5107/contact,England,Ms Linsey Farnsworth MP
Josh Fenton-Glynn,Commons,Labour,Calder Valley,E14001147,,https://members.parliament.uk/member/5295/contact,England,Mr Josh Fenton-Glynn MP
Mark Ferguson,Commons,Labour,Gateshead Central and Whickham,E14001244,,https://members.parliament.uk/member/5031/contact,England,Mr Mark Ferguson MP
Patricia Ferguson,Commons,Labour,Glasgow West,S14000089,,https://members.parliament.uk/member/5190/contact,Scotland,Ms Patricia Ferguson MP
Natalie Fleet,Commons,Labour,Bolsover,E14001109,,https://members.parliament.uk/member/5053/contact,England,Ms Natalie Fleet MP
Catherine Fookes,Commons,Labour,Monmouthshire,W07000101,,https://members.parliament.uk/member/5291/contact,Wales,Ms Catherine Fookes MP
Paul Foster,Commons,Labour,South Ribble,E14001491,,https://members.parliament.uk/member/5074/contact,England,Mr Paul Foster MP
Vicky Foxcroft,Commons,Labour,Lewisham North,E14001332,"Government Whip, Lord Commissioner of HM Treasury",https://members.parliament.uk/member/4491/contact,England,Ms Vicky Foxcroft MP
Mary Kelly Foy,Commons,Labour,City of Durham,E14001173,,https://members.parliament.uk/member/4753/contact,England,Ms Mary Kelly Foy MP
Daniel Francis,Commons,Labour,Bexleyheath and Crayford,E14001089,,https://members.parliament.uk/member/5184/contact,England,Mr Daniel Francis MP
James Frith,Commons,Labour,Bury North,E14001144,,https://members.parliament.uk/member/4637/contact,England,Mr James Frith MP
Gill Furniss,Commons,Labour,Sheffield Brightside and Hillsborough,E14001466,,https://members.parliament.uk/member/4571/contact,England,Ms Gill Furniss MP
Barry Gardiner,Commons,Labour,Brent West,E14001123,,https://members.parliament.uk/member/146/contact,England,Mr Barry Gardiner MP
Allison Gardner,Commons,Labour,Stoke-on-Trent South,E14001522,,https://members.parliament.uk/member/5334/contact,England,Dr Allison Gardner MP
Anna Gelderd,Commons,Labour,South East Cornwall,E14001486,,https://members.parliament.uk/member/5353/contact,England,Ms Anna Gelderd MP
Alan Gemmell,Commons,Labour,Central Ayrshire,S14000109,,https://members.parliament.uk/member/5185/contact,Scotland,Mr Alan Gemmell MP
Gill German,Commons,Labour,Clwyd North,W07000095,,https://members.parliament.uk/member/5104/contact,Wales,Ms Gill German MP
Tracy Gilbert,Commons,Labour,Edinburgh North and Leith,S14000079,,https://members.parliament.uk/member/5188/contact,Scotland,Ms Tracy Gilbert MP
Becky Gittins,Commons,Labour,Clwyd East,W07000094,,https://members.parliament.uk/member/5181/contact,Wales,Ms Becky Gittins MP
Mary Glindon,Commons,Labour,Newcastle upon Tyne East and Wallsend,E14001378,,https://members.parliament.uk/member/4126/contact,England,Ms Mary Glindon MP
Ben Goldsborough,Commons,Labour,South Norfolk,E14001489,,https://members.parliament.uk/member/5205/contact,England,Mr Ben Goldsborough MP
Jodie Gosling,Commons,Labour,Nuneaton,E14001413,,https://members.parliament.uk/member/5036/contact,England,Ms Jodie Gosling MP
Georgia Gould,Commons,Labour,Queen's Park and Maida Vale,E14001435,Parliamentary Secretary (Cabinet Office),https://members.parliament.uk/member/5305/contact,England,Ms Georgia Gould MP
John Grady,Commons,Labour,Glasgow East,S14000084,,https://members.parliament.uk/member/5170/contact,Scotland,Mr John Grady MP
Lilian Greenwood,Commons,Labour,Nottingham South,E14001412,Parliamentary Under-Secretary (Department for Transport),https://members.parliament.uk/member/4029/contact,England,Ms Lilian Greenwood MP
Nia Griffith,Commons,Labour,Llanelli,W07000098,Parliamentary Under-Secretary (Wales Office),https://members.parliament.uk/member/1541/contact,Wales,Dame Nia Griffith MP
Amanda Hack,Commons,Labour,North West Leicestershire,E14001404,,https://members.parliament.uk/member/5149/contact,England,Ms Amanda Hack MP
Louise Haigh,Commons,Labour,Sheffield Heeley,E14001469,,https://members.parliament.uk/member/4473/contact,England,The Rt Hon Louise Haigh MP
Fabian Hamilton,Commons,Labour,Leeds North East,E14001321,,https://members.parliament.uk/member/415/contact,England,Mr Fabian Hamilton MP
Paulette Hamilton,Commons,Labour,Birmingham Erdington,E14001093,,https://members.parliament.uk/member/4938/contact,England,Ms Paulette Hamilton MP
Emma Hardy,Commons,Labour,Kingston upon Hull West and Haltemprice,E14001315,"Parliamentary Under-Secretary (Department for Environment, Food and Rural Affairs)",https://members.parliament.uk/member/4645/contact,England,Ms Emma Hardy MP
Carolyn Harris,Commons,Labour,Neath and Swansea East,W07000103,,https://members.parliament.uk/member/4480/contact,Wales,Ms Carolyn Harris MP
Lloyd Hatton,Commons,Labour,South Dorset,E14001485,,https://members.parliament.uk/member/5217/contact,England,Mr Lloyd Hatton MP
Helen Hayes,Commons,Labour,Dulwich and West Norwood,E14001205,,https://members.parliament.uk/member/4510/contact,England,Ms Helen Hayes MP
Tom Hayes,Commons,Labour,Bournemouth East,E14001115,,https://members.parliament.uk/member/5210/contact,England,Mr Tom Hayes MP
Claire Hazelgrove,Commons,Labour,Filton and Bradley Stoke,E14001237,,https://members.parliament.uk/member/5306/contact,England,Ms Claire Hazelgrove MP
John Healey,Commons,Labour,Rawmarsh and Conisbrough,E14001436,Secretary of State for Defence,https://members.parliament.uk/member/400/contact,England,The Rt Hon John Healey MP
Chris Hinchliff,Commons,Labour,North East Hertfordshire,E14001393,,https://members.parliament.uk/member/5244/contact,England,Mr Chris Hinchliff MP
Jonathan Hinder,Commons,Labour,Pendle and Clitheroe,E14001422,,https://members.parliament.uk/member/5264/contact,England,Mr Jonathan Hinder MP
Sharon Hodgson,Commons,Labour,Washington and Gateshead South,E14001567,,https://members.parliament.uk/member/1521/contact,England,Mrs Sharon Hodgson MP
Rachel Hopkins,Commons,Labour,Luton South and South Bedfordshire,E14001346,,https://members.parliament.uk/member/4873/contact,England,Ms Rachel Hopkins MP
Claire Hughes,Commons,Labour,Bangor Aberconwy,W07000083,,https://members.parliament.uk/member/5113/contact,Wales,Ms Claire Hughes MP
Alison Hume,Commons,Labour,Scarborough and Whitby,E14001461,,https://members.parliament.uk/member/5254/contact,England,Ms Alison Hume MP
Rupa Huq,Commons,Labour,Ealing Central and Acton,E14001207,,https://members.parliament.uk/member/4511/contact,England,Dr Rupa Huq MP
Patrick Hurley,Commons,Labour,Southport,E14001504,,https://members.parliament.uk/member/5052/contact,England,Mr Patrick Hurley MP
Imran Hussain,Commons,Labour,Bradford East,E14001118,,https://members.parliament.uk/member/4394/contact,England,Mr Imran Hussain MP
Leigh Ingham,Commons,Labour,Stafford,E14001513,,https://members.parliament.uk/member/5290/contact,England,Ms Leigh Ingham MP
Natasha Irons,Commons,Labour,Croydon East,E14001186,,https://members.parliament.uk/member/5119/contact,England,Ms Natasha Irons MP
Dan Jarvis,Commons,Labour,Barnsley North,E14001074,Minister of State (Home Office),https://members.parliament.uk/member/4243/contact,England,Mr Dan Jarvis MP
Terry Jermy,Commons,Labour,South West Norfolk,E14001497,,https://members.parliament.uk/member/5338/contact,England,Mr Terry Jermy MP
Adam Jogee,Commons,Labour,Newcastle-under-Lyme,E14001380,,https://members.parliament.uk/member/5168/contact,England,Mr Adam Jogee MP
Diana Johnson,Commons,Labour,Kingston upon Hull North and Cottingham,E14001314,Minister of State (Home Office),https://members.parliament.uk/member/1533/contact,England,The Rt Hon Dame Diana Johnson MP
Kim Johnson,Commons,Labour,Liverpool Riverside,E14001338,,https://members.parliament.uk/member/4824/contact,England,Ms Kim Johnson MP
Darren Jones,Commons,Labour,Bristol North West,E14001134,Chief Secretary to the Treasury,https://members.parliament.uk/member/4621/contact,England,The Rt Hon Darren Jones MP
Gerald Jones,Commons,Labour,Merthyr Tydfil and Aberdare,W07000099,Assistant Whip,https://members.parliament.uk/member/4501/contact,Wales,Mr Gerald Jones MP
Lillian Jones,Commons,Labour,Kilmarnock and Loudoun,S14000110,,https://members.parliament.uk/member/5043/contact,Scotland,Ms Lillian Jones MP
Louise Jones,Commons,Labour,North East Derbyshire,E14001391,,https://members.parliament.uk/member/5258/contact,England,Ms Louise Jones MP
Ruth Jones,Commons,Labour,Newport West and Islwyn,W07000105,,https://members.parliament.uk/member/4716/contact,Wales,Ms Ruth Jones MP
Sarah Jones,Commons,Labour,Croydon West,E14001188,Minister of State (Department for Energy Security and Net Zero),https://members.parliament.uk/member/4631/contact,England,Ms Sarah Jones MP
Gurinder Singh Josan,Commons,Labour,Smethwick,E14001478,,https://members.parliament.uk/member/5059/contact,England,Mr Gurinder Singh Josan MP
Sojan Joseph,Commons,Labour,Ashford,E14001069,,https://members.parliament.uk/member/5247/contact,England,Mr Sojan Joseph MP
Warinder Juss,Commons,Labour,Wolverhampton West,E14001596,,https://members.parliament.uk/member/5230/contact,England,Mr Warinder Juss MP
Chris Kane,Commons,Labour,Stirling and Strathallan,S14000105,,https://members.parliament.uk/member/5155/contact,Scotland,Mr Chris Kane MP
Mike Kane,Commons,Labour,Wythenshawe and Sale East,E14001602,Parliamentary Under-Secretary (Department for Transport),https://members.parliament.uk/member/4316/contact,England,Mr Mike Kane MP
Satvir Kaur,Commons,Labour,Southampton Test,E14001500,,https://members.parliament.uk/member/5271/contact,England,Ms Satvir Kaur MP
Liz Kendall,Commons,Labour,Leicester West,E14001328,Secretary of State for Work and Pensions,https://members.parliament.uk/member/4026/contact,England,The Rt Hon Liz Kendall MP
Afzal Khan,Commons,Labour,Manchester Rusholme,E14001353,,https://members.parliament.uk/member/4671/contact,England,Mr Afzal Khan MP
Naushabah Khan,Commons,Labour,Gillingham and Rainham,E14001246,,https://members.parliament.uk/member/5215/contact,England,Ms Naushabah Khan MP
Stephen Kinnock,Commons,Labour,Aberafan Maesteg,W07000081,Minister of State (Department of Health and Social Care),https://members.parliament.uk/member/4359/contact,Wales,Mr Stephen Kinnock MP
Gen Kitchen,Commons,Labour,Wellingborough and Rushden,E14001571,Assistant Whip,https://members.parliament.uk/member/5011/contact,England,Ms Gen Kitchen MP
Sonia Kumar,Commons,Labour,Dudley,E14001204,,https://members.parliament.uk/member/5274/contact,England,Ms Sonia Kumar MP
Uma Kumaran,Commons,Labour,Stratford and Bow,E14001525,,https://members.parliament.uk/member/5278/contact,England,Ms Uma Kumaran MP
Peter Kyle,Commons,Labour,Hove and Portslade,E14001296,"Secretary of State for Science, Innovation and Technology",https://members.parliament.uk/member/4505/contact,England,The Rt Hon Peter Kyle MP
Laura Kyrke-Smith,Commons,Labour,Aylesbury,E14001071,,https://members.parliament.uk/member/5341/contact,England,Ms Laura Kyrke-Smith MP
Peter Lamb,Commons,Labour,Crawley,E14001184,,https://members.parliament.uk/member/5345/contact,England,Mr Peter Lamb MP
David Lammy,Commons,Labour,Tottenham,E14001553,Foreign Secretary,https://members.parliament.uk/member/206/contact,England,The Rt Hon David Lammy MP
Ian Lavery,Commons,Labour,Blyth and Ashington,E14001107,,https://members.parliament.uk/member/4139/contact,England,Mr Ian Lavery MP
Noah Law,Commons,Labour,St Austell and Newquay,E14001508,,https://members.parliament.uk/member/5302/contact,England,Mr Noah Law MP
Kim Leadbeater,Commons,Labour,Spen Valley,E14001506,,https://members.parliament.uk/member/4923/contact,England,Ms Kim Leadbeater MP
Brian Leishman,Commons,Labour,Alloa and Grangemouth,S14000064,,https://members.parliament.uk/member/5196/contact,Scotland,Mr Brian Leishman MP
Emma Lewell,Commons,Labour,South Shields,E14001492,,https://members.parliament.uk/member/4277/contact,England,Ms Emma Lewell MP
Andrew Lewin,Commons,Labour,Welwyn Hatfield,E14001573,,https://members.parliament.uk/member/5061/contact,England,Mr Andrew Lewin MP
Clive Lewis,Commons,Labour,Norwich South,E14001409,,https://members.parliament.uk/member/4500/contact,England,Mr Clive Lewis MP
Josh MacAlister,Commons,Labour,Whitehaven and Workington,E14001583,,https://members.parliament.uk/member/5033/contact,England,Mr Josh MacAlister MP
Andy MacNae,Commons,Labour,Rossendale and Darwen,E14001450,,https://members.parliament.uk/member/5134/contact,England,Mr Andy MacNae MP
Justin Madders,Commons,Labour,Ellesmere Port and Bromborough,E14001222,Parliamentary Under Secretary of State (Department for Business and Trade),https://members.parliament.uk/member/4418/contact,England,Mr Justin Madders MP
Shabana Mahmood,Commons,Labour,Birmingham Ladywood,E14001096,Lord Chancellor and Secretary of State for Justice,https://members.parliament.uk/member/3914/contact,England,The Rt Hon Shabana Mahmood KC MP
Amanda Martin,Commons,Labour,Portsmouth North,E14001431,,https://members.parliament.uk/member/5294/contact,England,Ms Amanda Martin MP
Keir Mather,Commons,Labour,Selby,E14001464,Assistant Whip,https://members.parliament.uk/member/4993/contact,England,Mr Keir Mather MP
Alex Mayer,Commons,Labour,Dunstable and Leighton Buzzard,E14001206,,https://members.parliament.uk/member/5141/contact,England,Ms Alex Mayer MP
Douglas McAllister,Commons,Labour,West Dunbartonshire,S14000106,,https://members.parliament.uk/member/5057/contact,Scotland,Mr Douglas McAllister MP
Kerry McCarthy,Commons,Labour,Bristol East,E14001132,Parliamentary Under Secretary of State (Department for Energy Security and Net Zero),https://members.parliament.uk/member/1491/contact,England,Ms Kerry McCarthy MP
Martin McCluskey,Commons,Labour,Inverclyde and Renfrewshire West,S14000093,Assistant Whip,https://members.parliament.uk/member/5129/contact,Scotland,Mr Martin McCluskey MP
Siobhain McDonagh,Commons,Labour,Mitcham and Morden,E14001371,,https://members.parliament.uk/member/193/contact,England,Dame Siobhain McDonagh MP
Andy McDonald,Commons,Labour,Middlesbrough and Thornaby East,E14001367,,https://members.parliament.uk/member/4269/contact,England,Mr Andy McDonald MP
Chris McDonald,Commons,Labour,Stockton North,E14001518,,https://members.parliament.uk/member/5116/contact,England,Mr Chris McDonald MP
Blair McDougall,Commons,Labour,East Renfrewshire,S14000021,,https://members.parliament.uk/member/5076/contact,Scotland,Mr Blair McDougall MP
Lola McEvoy,Commons,Labour,Darlington,E14001190,,https://members.parliament.uk/member/5037/contact,England,Ms Lola McEvoy MP
Pat McFadden,Commons,Labour,Wolverhampton South East,E14001595,Chancellor of the Duchy of Lancaster,https://members.parliament.uk/member/1587/contact,England,The Rt Hon Pat McFadden MP
Alison McGovern,Commons,Labour,Birkenhead,E14001091,Minister of State (Department for Work and Pensions),https://members.parliament.uk/member/4083/contact,England,Ms Alison McGovern MP
Alex McIntyre,Commons,Labour,Gloucester,E14001248,,https://members.parliament.uk/member/5349/contact,England,Mr Alex McIntyre MP
Gordon McKee,Commons,Labour,Glasgow South,S14000087,,https://members.parliament.uk/member/5189/contact,Scotland,Mr Gordon McKee MP
Kevin McKenna,Commons,Labour,Sittingbourne and Sheppey,E14001474,,https://members.parliament.uk/member/5300/contact,England,Mr Kevin McKenna MP
Catherine McKinnell,Commons,Labour,Newcastle upon Tyne North,E14001379,Minister of State (Education),https://members.parliament.uk/member/4125/contact,England,Ms Catherine McKinnell MP
Anna McMorrin,Commons,Labour,Cardiff North,W07000090,Assistant Whip,https://members.parliament.uk/member/4632/contact,Wales,Ms Anna McMorrin MP
Frank McNally,Commons,Labour,Coatbridge and Bellshill,S14000070,,https://members.parliament.uk/member/5183/contact,Scotland,Mr Frank McNally MP
Anneliese Midgley,Commons,Labour,Knowsley,E14001317,,https://members.parliament.uk/member/5038/contact,England,Ms Anneliese Midgley MP
Ed Miliband,Commons,Labour,Doncaster North,E14001200,Secretary of State for Energy Security and Net Zero,https://members.parliament.uk/member/1510/contact,England,The Rt Hon Ed Miliband MP
Julie Minns,Commons,Labour,Carlisle,E14001152,,https://members.parliament.uk/member/5094/contact,England,Ms Julie Minns MP
Navendu Mishra,Commons,Labour,Stockport,E14001517,,https://members.parliament.uk/member/4811/contact,England,Mr Navendu Mishra MP
Abtisam Mohamed,Commons,Labour,Sheffield Central,E14001467,,https://members.parliament.uk/member/5142/contact,England,Ms Abtisam Mohamed MP
Perran Moon,Commons,Labour,Camborne and Redruth,E14001148,,https://members.parliament.uk/member/5208/contact,England,Mr Perran Moon MP
Jessica Morden,Commons,Labour,Newport East,W07000104,,https://members.parliament.uk/member/1548/contact,Wales,Ms Jessica Morden MP
Stephen Morgan,Commons,Labour,Portsmouth South,E14001432,Parliamentary Under-Secretary (Department for Education),https://members.parliament.uk/member/4653/contact,England,Mr Stephen Morgan MP
Grahame Morris,Commons,Labour,Easington,E14001211,,https://members.parliament.uk/member/3973/contact,England,Mr Grahame Morris MP
Joe Morris,Commons,Labour,Hexham,E14001285,,https://members.parliament.uk/member/5081/contact,England,Mr Joe Morris MP
Margaret Mullane,Commons,Labour,Dagenham and Rainham,E14001189,,https://members.parliament.uk/member/5272/contact,England,Ms Margaret Mullane MP
Luke Murphy,Commons,Labour,Basingstoke,E14001078,,https://members.parliament.uk/member/5248/contact,England,Mr Luke Murphy MP
Chris Murray,Commons,Labour,Edinburgh East and Musselburgh,S14000078,,https://members.parliament.uk/member/5245/contact,Scotland,Mr Chris Murray MP
Ian Murray,Commons,Labour,Edinburgh South,S14000080,Secretary of State for Scotland,https://members.parliament.uk/member/3966/contact,Scotland,The Rt Hon Ian Murray MP
Katrina Murray,Commons,Labour,Cumbernauld and Kirkintilloch,S14000072,,https://members.parliament.uk/member/5309/contact,Scotland,Ms Katrina Murray MP
Luke Myer,Commons,Labour,Middlesbrough South and East Cleveland,E14001368,,https://members.parliament.uk/member/5147/contact,England,Mr Luke Myer MP
James Naish,Commons,Labour,Rushcliffe,E14001457,,https://members.parliament.uk/member/5047/contact,England,Mr James Naish MP
Connor Naismith,Commons,Labour,Crewe and Nantwich,E14001185,,https://members.parliament.uk/member/5273/contact,England,Mr Connor Naismith MP
Lisa Nandy,Commons,Labour,Wigan,E14001585,"Secretary of State for Culture, Media and Sport",https://members.parliament.uk/member/4082/contact,England,The Rt Hon Lisa Nandy MP
Kanishka Narayan,Commons,Labour,Vale of Glamorgan,W07000110,,https://members.parliament.uk/member/5039/contact,Wales,Mr Kanishka Narayan MP
Pamela Nash,Commons,Labour,"Motherwell, Wishaw and Carluke",S14000099,,https://members.parliament.uk/member/3909/contact,Scotland,Ms Pamela Nash MP
Josh Newbury,Commons,Labour,Cannock Chase,E14001150,,https://members.parliament.uk/member/5034/contact,England,Mr Josh Newbury MP
Samantha Niblett,Commons,Labour,South Derbyshire,E14001483,,https://members.parliament.uk/member/5150/contact,England,Ms Samantha Niblett MP
Charlotte Nichols,Commons,Labour,Warrington North,E14001564,,https://members.parliament.uk/member/4799/contact,England,Ms Charlotte Nichols MP
Melanie Onn,Commons,Labour,Great Grimsby and Cleethorpes,E14001255,,https://members.parliament.uk/member/4464/contact,England,Ms Melanie Onn MP
Chi Onwurah,Commons,Labour,Newcastle upon Tyne Central and West,E14001377,,https://members.parliament.uk/member/4124/contact,England,Ms Chi Onwurah MP
Simon Opher,Commons,Labour,Stroud,E14001529,,https://members.parliament.uk/member/5030/contact,England,Dr Simon Opher MP
Abena Oppong-Asare,Commons,Labour,Erith and Thamesmead,E14001229,Parliamentary Secretary (Cabinet Office),https://members.parliament.uk/member/4820/contact,England,Ms Abena Oppong-Asare MP
Kate Osborne,Commons,Labour,Jarrow and Gateshead East,E14001307,,https://members.parliament.uk/member/4783/contact,England,Ms Kate Osborne MP
Tristan Osborne,Commons,Labour,Chatham and Aylesford,E14001157,,https://members.parliament.uk/member/5220/contact,England,Mr Tristan Osborne MP
